round,red_count,green_count,blue_count
0,79,68,63
300,147,0,63
600,74,30,106
900,159,15,36
1200,170,17,23
1500,120,45,45
1800,76,79,55
2100,110,97,3
2400,60,121,29
2700,21,61,128
3000,2,24,184
3300,13,3,194
3600,21,15,174
3900,6,13,191
4200,27,42,141
4500,84,12,114
4800,50,65,95
5100,31,46,133
5400,63,50,97
5700,43,53,114
6000,9,83,118
6300,78,5,127
6600,13,30,167
6900,25,29,156
7200,2,143,65
7500,0,78,132
7800,38,107,65
8100,61,114,35
8400,132,35,43
8700,75,110,25
9000,143,55,12
9300,67,52,91
9600,45,100,65
9900,23,80,107
