round,red_count,green_count,blue_count
0,69,63,78
300,48,76,86
600,115,68,27
900,158,28,24
1200,151,51,8
1500,159,22,29
1800,120,83,7
2100,114,67,29
2400,179,26,5
2700,157,53,0
3000,127,81,2
3300,148,40,22
3600,187,10,13
3900,91,90,29
4200,125,79,6
4500,139,27,44
4800,120,90,0
5100,63,137,10
5400,51,152,7
5700,90,90,30
6000,38,148,24
6300,114,56,40
6600,74,87,49
6900,98,67,45
7200,162,21,27
7500,50,159,1
7800,87,89,34
8100,154,38,18
8400,100,76,34
8700,164,39,7
9000,148,52,10
9300,124,85,1
9600,151,43,16
9900,209,1,0

