round,red_count,green_count,blue_count
0,81,59,70
300,120,65,25
600,98,7,105
900,63,0,147
1200,70,0,140
1500,17,0,193
1800,77,0,133
2100,41,0,169
2400,4,0,206
2700,0,0,210
3000,0,0,210
3300,0,0,210
3600,0,0,210
3900,0,0,210
4200,0,0,210
4500,0,0,210
4800,0,0,210
5100,0,0,210
5400,0,0,210
5700,0,0,210
6000,0,0,210
6300,0,0,210
6600,0,0,210
6900,0,0,210
7200,0,0,210
7500,0,0,210
7800,0,0,210
8100,0,0,210
8400,0,0,210
8700,0,0,210
9000,0,0,210
9300,0,0,210
9600,0,0,210
9900,0,0,210
