round,red_count,green_count,blue_count
0,56,77,77
300,63,112,35
600,55,150,5
900,49,104,57
1200,146,49,15
1500,112,79,19
1800,36,30,144
2100,58,41,111
2400,162,23,25
2700,62,27,121
3000,73,33,104
3300,40,137,33
3600,34,27,149
3900,28,45,137
4200,59,33,118
4500,110,31,69
4800,19,28,163
5100,164,23,23
5400,56,15,139
5700,22,166,22
6000,70,99,41
6300,30,22,158
6600,41,28,141
6900,23,38,149
7200,153,31,26
7500,20,152,38
7800,26,130,54
8100,43,110,57
8400,47,142,21
8700,98,45,67
9000,151,35,24
9300,17,37,156
9600,37,154,19
9900,34,82,94
