round,red_count,green_count,blue_count
0,63,80,67
300,16,6,188
600,27,0,183
900,26,0,184
1200,0,0,210
1500,0,0,210
1800,0,0,210
2100,0,0,210
2400,0,0,210
2700,0,0,210
3000,0,0,210
3300,0,0,210
3600,0,0,210
3900,0,0,210
4200,0,0,210
4500,0,0,210
4800,0,0,210
5100,0,0,210
5400,0,0,210
5700,0,0,210
6000,0,0,210
6300,0,0,210
6600,0,0,210
6900,0,0,210
7200,0,0,210
7500,0,0,210
7800,0,0,210
8100,0,0,210
8400,0,0,210
8700,0,0,210
9000,0,0,210
9300,0,0,210
9600,0,0,210
9900,0,0,210
