round,red_count,green_count,blue_count
0,40,90,80
300,5,176,29
600,25,158,27
900,13,173,24
1200,34,142,34
1500,169,27,14
1800,135,9,66
2100,180,23,7
2400,166,15,29
2700,112,48,50
3000,136,48,26
3300,160,40,10
3600,42,37,131
3900,32,37,141
4200,17,41,152
4500,45,61,104
4800,46,127,37
5100,43,138,29
5400,12,174,24
5700,18,176,16
6000,22,151,37
6300,53,128,29
6600,78,5,127
6900,28,12,170
7200,31,38,141
7500,9,60,141
7800,26,17,167
8100,38,27,145
8400,22,16,172
8700,10,30,170
9000,28,24,158
9300,18,39,153
9600,59,127,24
9900,30,28,152
