round,red_count,green_count,blue_count
0,72,81,57
300,43,38,129
600,43,24,143
900,28,29,153
1200,42,23,145
1500,23,21,166
1800,16,21,173
2100,16,76,118
2400,7,167,36
2700,11,179,20
3000,18,161,31
3300,23,177,10
3600,30,152,28
3900,17,166,27
4200,35,144,31
4500,129,43,38
4800,107,76,27
5100,24,27,159
5400,37,55,118
5700,14,33,163
6000,31,23,156
6300,20,51,139
6600,20,18,172
6900,37,19,154
7200,19,36,155
7500,25,26,159
7800,21,16,173
8100,10,16,184
8400,149,28,33
8700,163,18,29
9000,166,14,30
9300,174,15,21
9600,179,12,19
9900,74,114,22
